rel_height,extension,rel_speed,spin_rate,spin_axis,active spin %,horz_break,induced_vert_break
5.12514211,6.160788057,81.76892669,1671.182781,127.7212788,80.80051899,-7.265573792,10.03015026
5.296835436,6.09921789,92.44027526,2065.715971,121.6326442,88.97113231,-12.36506817,11.88060375
5.402279434,6.088922182,92.68864554,2296.273816,130.5243517,78.53360674,-7.929126199,16.36310553
5.163579954,6.145413397,83.5142575,1793.329387,121.3508869,80.9901096,-10.19320136,11.1422995
5.245028069,6.194295162,91.52360966,2296.629637,133.1548961,82.85023894,-10.21826809,14.07484536
5.274383558,6.223735331,84.06714446,1670.171795,130.704784,66.33703573,-7.54551249,9.332612835
5.275071333,5.695920443,91.46190877,2154.688277,128.4595995,90.49349372,-11.13981308,14.4830289
5.254571011,6.130684132,78.89262821,2788.078008,292.049053,45.55071833,7.366647648,-3.049959235
5.178651128,6.369898171,83.4974661,1669.312419,128.3030662,86.76682664,-6.854798027,11.01766846
5.311162999,5.791481728,76.96262028,2640.631231,285.9014089,66.88748379,7.887534069,-6.81016212
5.157993911,6.17607111,81.63461258,1561.554419,110.3516464,54.64697935,-1.191386953,4.892791434
5.289216569,6.131286854,92.9137006,2086.965819,127.8702434,89.56573382,-9.164601972,13.83578401
5.36909919,6.099757427,79.58456089,2775.866827,279.1778982,50.62534638,8.217610287,-4.510982566
5.292940667,5.911628479,78.94016697,2774.465459,301.8866079,66.84051641,11.77437012,-8.824813418
5.261432311,6.360373598,85.51927519,1719.651521,121.8953119,80.19768326,-7.000308351,9.054718474
5.218372968,6.014058056,79.57352834,2822.693038,278.7488435,40.40868986,9.702746089,-4.611164323
5.196455492,6.220593451,93.17434508,2253.67349,135.065063,93.32959374,-12.25211499,16.218502
5.409340399,6.11127227,93.13525069,2099.859627,134.4001098,87.92216798,-8.097145345,16.81423869
5.198187401,6.060146565,82.9848447,1699.378802,125.5509796,84.69093641,-9.865214362,10.05927267
5.373250148,6.390945536,92.77973509,2267.173245,133.7205783,90.29695325,-7.338344429,15.97661876
5.257926991,6.277846093,82.71382572,1650.544574,112.6098099,73.19566795,-2.358485236,9.040554907
5.505236199,6.17349791,95.81043674,2056.336546,137.8567546,91.59924465,-7.166426828,16.99010854
5.07684007,6.145709934,80.65164571,1570.574893,130.3929723,87.47018047,-10.80428021,8.578211951
5.160347035,6.106131787,80.13531162,1578.027484,126.0803299,82.24017295,-6.964000716,8.467672255
5.383351038,6.132986521,93.4645638,2252.932417,132.6402636,90.33983075,-10.15153374,13.86938525
5.23682647,6.200699086,80.68468143,1577.061419,162.5966415,54.84229103,-9.909383788,7.777991202
5.066095842,6.264069555,81.48708923,1651.980266,114.3105198,74.2492883,-4.589865975,6.329860531
5.362093638,6.708024477,92.79703755,2283.721236,140.1086169,79.29925579,-8.646952286,16.63032389
5.274958323,6.023101305,81.65812154,1657.747102,125.747771,81.16018243,-4.493338554,11.89159077
5.085035337,6.131704806,81.19205291,1615.305584,92.91743814,82.90197383,-5.542693428,9.67858585
5.187021783,6.18659758,82.77272465,1658.422625,127.8415298,81.23056043,-9.673689857,7.60790148
5.346722749,6.206028404,94.27840047,2275.084917,139.1014978,96.35813986,-9.523286584,13.90743378
5.232133916,6.291639084,82.82366611,1632.987323,122.7810745,86.94804229,-12.78931428,7.017583754
5.281953862,6.087574238,94.03869297,2382.165282,131.9915507,83.87310823,-11.96963089,16.60468679
5.219420362,6.169877181,93.66351081,2228.404968,127.256089,89.79800562,-11.14620252,12.04028746
5.21510962,6.211758942,93.59255887,2118.757642,135.2497525,88.91161252,-8.771860511,15.87803366
5.418542435,6.057275528,91.87353184,2200.74243,138.9620708,92.69228019,-8.17284601,16.44421392
